0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:32 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:32 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:32 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:32 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:32 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:33 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
127.0.0.1 - - [03/Oct/2021:19:09:54 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:09:55 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:09:55 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:13:06 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:13:06 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:14:58 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:14:58 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:00 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:00 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:01 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:16 +0200] "GET /CRUD-MVC/Index.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:33 +0200] "GET /CRUD-MVC/Index.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:39 +0200] "GET /CRUD-MVC/ HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:39 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:40 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:41 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:42 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:15:43 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:07:58 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:07:58 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:07:59 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:08:07 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:08:08 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:08:09 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:08:10 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:14:35 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:14:35 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:14:54 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:14:54 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:14:59 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:15:30 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:15:30 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:15:32 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:15:32 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:15:32 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:15:32 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:15:46 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:15:46 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:05 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:05 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:09 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:09 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:11 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:11 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:11 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:11 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:11 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:11 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:12 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:12 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:16 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:16:16 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:19:39 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:20:05 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:20:09 +0200] "GET /CRUD-MVC/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:20:10 +0200] "GET /CRUD-MVC/AgregarCliente.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:20:24 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:21:26 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:21:27 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:21:27 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:21:27 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:21:27 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:21:27 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:21:27 +0200] "POST /CRUD-MVC/AgregarCliente HTTP/1.1" 404 714
127.0.0.1 - - [03/Oct/2021:20:21:38 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:21:38 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 745
